partNum, model, ram, memory, color
MGN63, MACBOOK_AIR_13_M1, GB_8, GB_256, SPACE_GRAY
MGN93, MACBOOK_AIR_13_M1, GB_8, GB_256, SILVER
MGND3, MACBOOK_AIR_13_M1, GB_8, GB_256, GOLD
MGN73, MACBOOK_AIR_13_M1, GB_8, GB_512, SPACE_GRAY
MGNA3, MACBOOK_AIR_13_M1, GB_8, GB_512, SILVER
MGNE3, MACBOOK_AIR_13_M1, GB_8, GB_512, GOLD

MLXW3, MACBOOK_AIR_13_M2, GB_8, GB_256, SPACE_GRAY
MLXY3, MACBOOK_AIR_13_M2, GB_8, GB_256, SILVER
MLY33, MACBOOK_AIR_13_M2, GB_8, GB_256, MIDNIGHT
MLY13, MACBOOK_AIR_13_M2, GB_8, GB_256, STARLIGHT
MLXX3, MACBOOK_AIR_13_M2, GB_8, GB_512, SPACE_GRAY
MLY03, MACBOOK_AIR_13_M2, GB_8, GB_512, SILVER
MLY43, MACBOOK_AIR_13_M2, GB_8, GB_512, MIDNIGHT
MLY23, MACBOOK_AIR_13_M2, GB_8, GB_512, STARLIGHT

MYD82, MACBOOK_PRO_13_M1, GB_8, GB_256, SPACE_GRAY
MYDA2, MACBOOK_PRO_13_M1, GB_8, GB_256, SILVER
MYD92, MACBOOK_PRO_13_M1, GB_8, GB_512, SPACE_GRAY
MYDC2, MACBOOK_PRO_13_M1, GB_8, GB_512, SILVER

MK183, MACBOOK_PRO_16_M1_PRO, GB_16, GB_512, SPACE_GRAY
MK1E3, MACBOOK_PRO_16_M1_PRO, GB_16, GB_512, SILVER
MK193, MACBOOK_PRO_16_M1_PRO, GB_16, TB_1, SPACE_GRAY
MK1F3, MACBOOK_PRO_16_M1_PRO, GB_16, TB_1, SILVER
MK1A3, MACBOOK_PRO_16_M1_MAX, GB_32, TB_1, SPACE_GRAY
MK1H3, MACBOOK_PRO_16_M1_MAX, GB_32, TB_1, SILVER
MK233, MACBOOK_PRO_16_M1_MAX, GB_64, TB_4, SPACE_GRAY

MKGR3, MACBOOK_PRO_14_M1_PRO, GB_16, GB_512, SILVER
MKGP3, MACBOOK_PRO_14_M1_PRO, GB_16, GB_512, SPACE_GRAY
MKGT3, MACBOOK_PRO_14_M1_PRO, GB_16, TB_1, SILVER
MKGQ3, MACBOOK_PRO_14_M1_PRO, GB_16, TB_1, SPACE_GRAY

MKH53, MACBOOK_PRO_14_M1_MAX, GB_64, TB_2, SPACE_GRAY

MK1E3, MACBOOK_PRO_16_M1_PRO, GB_16, GB_512, SILVER
MK1F3, MACBOOK_PRO_16_M1_PRO, GB_16, TB_1, SILVER

MK1H3, MACBOOK_PRO_16_M1_MAX, GB_32, TB_1, SILVER


MNEH3, MACBOOK_PRO_13_M2, GB_8, GB_256, SPACE_GRAY
MNEP3, MACBOOK_PRO_13_M2, GB_8, GB_256, SILVER
MNEJ3, MACBOOK_PRO_13_M2, GB_8, GB_512, SPACE_GRAY
MNEQ3, MACBOOK_PRO_13_M2, GB_8, GB_512, SILVER

MPHH3, MACBOOK_PRO_14_M2_PRO, GB_16, GB_512, SILVER
MPHE3, MACBOOK_PRO_14_M2_PRO, GB_16, GB_512, SPACE_GRAY
MPHJ3, MACBOOK_PRO_14_M2_PRO, GB_16, TB_1, SILVER
MPHF3, MACBOOK_PRO_14_M2_PRO, GB_16, TB_1, SPACE_GRAY
MPHK3, MACBOOK_PRO_14_M2_MAX, GB_32, TB_1, SILVER
MPHG3, MACBOOK_PRO_14_M2_MAX, GB_32, TB_1, SPACE_GRAY

MNWD3, MACBOOK_PRO_16_M2_PRO, GB_16, TB_1, SILVER
MNW93, MACBOOK_PRO_16_M2_PRO, GB_16, TB_1, SPACE_GRAY
MNWC3, MACBOOK_PRO_16_M2_PRO, GB_16, GB_512, SILVER
MNW83, MACBOOK_PRO_16_M2_PRO, GB_16, GB_512, SPACE_GRAY